Latitude,Longitude,Limiting_Magnitude
40.3804,-78.7595,3
28.6683,-17.9032,4
35.9319,139.6,3
37.7318,-97.3496,3
18.2671,-66.1227,4
35.5748,-78.6123,4
31.9145,131.434,4
35.4039,136.731,2
40.4278,-90.7885,3
43.4751,-80.5464,3
35.256,-93.0254,3
41.1424,-8.53829,4
38.5177,-1.7003,5
28.6683,-17.9032,4
28.6596,-17.9065,2
28.5851,-17.8848,4
39.62,-86.1658,3
38.8894,-99.2246,2
35.0288,136.584,3
40.8318,-73.2629,3
32.5871,-97.0703,1
39.8752,-104.968,3
38.8859,-105.18,5
33.3751,-112.36,4
47.588,2.7402,4
41.1702,-8.55732,3
47.8678,2.66246,4
-30.5042,151.667,5
40.2798,-74.0048,3
40.2772,-74.0054,3
41.1696,-8.5491,3
41.1749,-8.56569,3
28.6604,-17.9203,3
28.6472,-17.8941,3
46.3585,16.6204,1
28.643,-17.8951,3
28.5851,-17.8848,5
28.6683,-17.9032,3
18.3008,-66.2449,4
18.4268,-65.9683,3
38.8892,-99.2246,3
35.222,-101.831,4
35.2622,-92.9588,3
32.009,-102.165,4
39.0306,-97.5942,4
35.5134,137.877,6
32.5867,-97.0664,1
32.5874,-97.0391,1
51.1469,16.8735,1
41.1579,-8.62911,3
35.0195,135.746,4
36.2582,138.136,4
28.7705,-17.9331,6
28.7705,-17.9331,6
39.2976,140.543,3
46.4898,8.26362,4
28.5851,-17.8848,4
28.6586,-17.9082,3
28.6511,-17.8835,3
28.655,-17.927,5
28.6683,-17.9032,2
42.3784,-71.2755,1
18.2366,-66.0714,1
39.9535,-105.333,4
34.0749,-106.902,5
32.571,-97.0554,2
35.2429,-93.0764,2
18.4317,-66.066,2
43.469,-80.5475,4
39.9535,-105.333,4
38.7253,-82.8132,3
40.0141,-105.344,7
40.0062,-105.295,5
47.7596,2.37425,4
53.0568,-1.18278,3
42.3364,-71.2683,2
40.0018,-105.297,5
40.0199,-105.267,3
40.2805,-74.0059,3
51.0602,13.7571,3
41.1806,-8.55648,2
41.1813,-8.55414,2
41.1812,-8.55405,2
40.2795,-74.2305,4
28.6427,-17.9332,3
28.6683,-17.9033,3
40.2798,-74.0048,4
33.3742,-112.364,4
40.2801,-74.0054,4
40.2798,-74.0048,4
34.7893,131.943,5
42.3686,-71.2908,6
28.6412,-17.888,4
41.1887,-8.58082,3
28.6472,-17.8941,5
28.6683,-17.9032,4
38.8669,-99.3405,4
41.1812,-8.5543,2
28.5869,-17.911,5
28.6413,-17.9333,5
28.6472,-17.8941,6
28.6604,-17.9203,4
18.4028,-66.05,2
28.6683,-17.9032,3
28.6453,-17.9334,4
28.6603,-17.907,4
32.7411,131.098,6
28.5977,-17.9094,4
51.6127,15.3258,3
42.3635,-71.3263,2
42.3635,-71.3263,2
38.7222,141.214,5
28.6604,-17.9203,3
28.6683,-17.9032,3
28.6453,-17.9334,4
35.5594,139.393,3
51.9207,-8.40631,3
51.9207,-8.40631,5
28.6604,-17.9071,3
28.6427,-17.9332,4
28.5781,-17.8782,4
28.6595,-17.9066,4
28.6469,-17.9395,4
28.6683,-17.9032,3
28.6472,-17.8941,3
28.6683,-17.9032,3
28.6472,-17.8941,3
28.6683,-17.9032,3
28.6587,-17.9085,3
36.1371,139.387,3
44.889,-93.0385,3
28.5851,-17.8848,3
37.5822,126.997,1
37.5724,126.814,6
28.6604,-17.9203,3
39.8498,-86.3632,3
37.5822,126.997,1
51.8635,-8.44511,4
39.9456,-105.054,3
34.656,135.055,3
34.6992,135.03,3
34.6992,135.03,2
34.5179,134.989,4
34.4195,134.786,6
34.4198,134.786,3
37.5303,126.64,3
51.8635,-8.44511,2
28.6683,-17.9032,3
28.6683,-17.9032,3
34.5828,-117.409,3
-27.1407,-52.6294,5
52.921,13.5487,6
28.6596,-17.9063,4
28.6472,-17.8941,4
28.6604,-17.9203,3
34.6567,135.142,4
35.2069,136.859,3
42.3364,-71.2683,1
47.2359,-1.54933,3
50.8185,1.7057,6
51.6133,-0.242278,5
48.6277,1.68507,4
49.135,4.95494,4
47.7937,2.25507,5
28.6453,-17.9334,4
39.6905,-76.5289,5
28.6596,-17.9063,4
43.6891,-72.2966,3
42.3382,-71.2852,3
45.1995,-79.122,4
43.7198,-72.3138,4
43.7198,-72.3138,5
38.6825,-77.3362,3
47.3168,-122.591,3
47.3168,-122.591,3
47.3169,-122.591,4
34.518,-93.0581,3
39.7693,-76.8896,2
32.009,-102.165,3
47.2044,-122.478,1
48.7082,2.17964,3
45.7304,4.89374,2
49.0157,2.04721,5
45.4843,-0.809355,3
43.5215,1.5595,4
52.6369,-1.13976,3
28.6512,-17.8834,3
44.9948,-93.1585,3
39.9992,-105.282,5
40.0121,-105.285,3
47.5274,-1.72116,4
42.6916,9.44903,4
48.5058,-2.75898,2
48.4881,-2.75101,3
47.2435,-122.436,1
28.6604,-17.9203,3
28.6511,-17.8835,3
28.6605,-17.9069,4
43.6947,-72.2851,4
26.6912,-80.0505,3
47.3169,-122.591,1
45.0045,-93.175,4
26.7073,-80.0384,4
47.1885,-1.53053,3
42.1514,-74.6436,6
24.0803,-109.994,6
28.2236,-14.167,7
46.5776,0.397842,4
28.6511,-17.8835,3
44.6554,-63.7475,3
19.2763,-81.2763,4
34.3486,-89.5235,7
24.0996,-109.997,2
45.0152,-93.1431,1
48.375,-123.56,6
43.5946,3.87417,4
28.6621,-17.914,3
32.5802,-97.0428,5
23.0613,-109.699,2
48.4126,-114.299,5
44.1263,15.2406,2
42.1518,-74.6449,1
52.2221,8.00998,6
45.7953,6.55474,4
28.6428,-17.9451,6
-36.4294,174.731,4
28.1352,-15.4392,4
28.655,-17.927,5
28.6605,-17.907,4
42.1602,-74.5216,1
26.6331,-80.1043,3
32.5815,-97.0451,3
39.0572,-95.7114,3
44.8418,-65.2884,4
32.5515,-97.0588,3
44.6886,-91.268,4
47.4963,-117.574,2
47.4963,-117.574,2
47.3617,-122.6,4
48.4336,-122.863,5
47.3071,-122.622,4
47.0537,-122.367,6
47.2435,-122.436,1
39.9334,32.8597,3
43.5581,144.321,6
43.5581,144.321,6
43.5581,144.321,6
40.8935,-75.5111,2
40.958,-75.5098,3
40.9739,-75.3942,4
38.7481,-82.99,3
45.015,-93.1429,1
41.1887,-96.1209,3
47.3063,-122.686,5
40.987,-75.4826,3
45.7528,-122.875,3
39.1128,-94.568,3
47.2942,-122.576,3
39.7675,-94.8467,4
39.7675,-94.8467,5
28.655,-17.927,6
43.6943,-72.2848,5
42.3686,-71.2908,6
41.3479,21.5489,3
32.7099,-108.299,6
40.3969,-74.0318,3
40.3969,-74.0318,3
40.4447,-89.0337,4
43.7199,-72.3139,4
36.0826,-86.8885,1
47.2941,-122.576,2
30.3459,-91.0734,4
36.4202,-116.812,7
28.2127,-14.0184,3
28.6537,-17.879,1
51.8934,-8.41309,1
51.9084,-8.45732,4
51.9084,-8.45732,3
28.6472,-17.8941,4
40.4168,-3.70379,1
36.0825,-86.8885,1
32.5772,-97.056,3
39.0011,-99.3159,2
43.4382,-90.9779,3
43.7093,-72.2063,6
47.4067,-122.582,2
40.9127,-75.3978,1
47.3649,-122.553,2
47.365,-122.553,3
45.1033,14.1143,3
45.0916,14.1238,6
45.1291,14.0523,1
45.1422,14.1115,4
45.0916,14.1238,3
45.1219,14.1254,2
45.0914,14.1236,2
45.0916,14.1238,5
43.7079,-72.2757,2
36.1129,-79.3092,5
36.1154,-79.3033,2
36.0989,-79.2717,3
36.0839,-79.2924,3
36.0934,-79.2736,2
36.1373,-79.3326,3
45.0885,14.1266,4
45.0916,14.1238,3
38.5077,-1.69533,3
45.3221,-122.595,2
47.3368,-122.592,2
47.3059,-122.57,5
47.3059,-122.57,5
55.8342,-137.51,4
41.3447,21.5614,1
-33.4023,-70.5453,2
-33.4072,-70.5474,2
-33.413,-70.5773,2
44.4792,-84.6751,5
39.1128,-94.568,2
45.4543,-122.72,4
39.7713,-76.8893,1
24.0481,-109.998,2
40.4588,-3.69783,1
47.2193,-122.4,2
28.6604,-17.9069,3
45.0061,-93.1566,1
34.6903,-112.026,5
37.3693,-6.04548,3
28.6529,-17.8465,4
47.4215,-122.541,4
47.2924,-122.641,4
47.2924,-122.641,5
38.4736,-99.1782,6
47.2529,-122.444,1
47.3293,-122.58,3
47.2395,-122.516,2
34.3486,-89.5235,5
47.3293,-122.58,3
51.8068,-8.39021,4
28.6472,-17.8941,3
28.6472,-17.8941,3
28.6683,-17.9032,3
41.7853,-88.2662,2
44.9909,-93.1562,3
44.9907,-93.1563,3
34.3486,-89.5235,3
47.632,-122.655,2
45.0037,-93.1762,5
44.9902,14.1036,4
45.1929,14.0951,3
45.1929,14.0951,3
48.9116,17.1027,4
48.9209,17.0718,5
48.9236,17.0745,5
45.174,14.14,3
48.9219,17.0724,4
48.9118,17.1048,3
45.0804,14.0846,3
48.9247,17.0774,5
45.1014,14.1144,1
45.1013,14.1052,3
45.1735,14.1392,3
45.0782,14.1617,3
-41.1324,-71.3496,1
47.2176,-122.528,4
47.2176,-122.528,2
28.6472,-17.8941,2
28.585,-17.885,4
28.6596,-17.9064,3
28.655,-17.927,3
-33.4056,-70.5419,2
34.9856,33.6545,5
47.2223,-122.612,4
28.6604,-17.9203,1
28.6472,-17.8941,1
28.6604,-17.907,4
47.2562,-122.803,3
47.3194,-122.329,3
42.1518,-74.6449,6
39.0993,-76.8483,3
47.3805,-122.575,4
39.0456,-76.8523,2
34.3486,-89.5235,1
34.3486,-89.5235,1
37.354,-121.805,2
48.9758,16.9773,7
28.6427,-17.9332,3
28.5851,-17.8844,4
28.6604,-17.9203,3
28.6472,-17.8941,3
47.3771,-122.665,1
28.6683,-17.9032,3
48.9223,17.1051,3
48.9169,17.09,3
48.9166,17.0984,3
48.9171,17.0896,3
48.9229,17.1056,3
48.919,17.082,3
48.9221,17.1035,3
48.9219,17.0724,5
28.6472,-17.8941,3
52.587,-2.12882,2
28.6604,-17.9203,2
28.6604,-17.9203,2
28.6472,-17.8941,2
33.9511,-118.225,2
33.2506,-117.279,5
51.807,-8.3903,4
28.6472,-17.8941,1
47.2793,-122.636,1
47.4962,-117.574,1
28.6427,-17.9332,3
38.748,-82.9911,3
-32.8969,-71.2633,2
28.5848,-17.8832,3
39.1546,-76.6081,3
39.2284,-84.0443,2
28.643,-17.8952,1
28.5851,-17.8847,3
28.6605,-17.9069,2
42.3689,-71.3092,2
40.467,-3.70413,2
28.6604,-17.9203,2
28.5853,-17.8852,4
28.643,-17.8952,3
42.6856,-82.9106,5
